travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
13,315.3959554,282.0856984,1.583528848,1.543770034,15.75,17.75,Floodplain,2
13,251.3306147,221.1866669,1.576964151,1.779453979,17.75,20.25,Floodplain,2
14,136.1757905,147.2788891,2.571827353,0.216256418,1.75,3.75,Floodplain,2
14,185.956971,194.7402468,2.778798768,0.363313346,3.75,5.75,Floodplain,2
14,268.1696866,190.677762,2.636580143,0.529383415,5.75,7.75,Floodplain,2
14,277.4672931,263.9089823,1.719785256,0.718007911,7.75,9.75,Floodplain,2
14,202.2490953,264.4660819,1.84107924,0.923215221,9.75,11.75,Floodplain,2
14,309.9299686,259.7851108,1.736014744,1.137547737,11.75,13.75,Floodplain,2
14,283.3433906,223.2304252,1.70913322,1.351483634,13.75,15.75,Floodplain,2
14,260.7551975,241.3421065,1.589485934,1.565370935,15.75,17.75,Floodplain,2
14,315.786091,263.8799356,1.524315323,1.796405797,17.75,20.15,Floodplain,2
15,100.9194205,101.0075191,2.702562319,0.167086455,1.75,3.75,af/Qi,6
15,87.80316134,89.09226613,2.852193973,0.266445058,3.75,5.75,af/Qi,6
15,91.15585903,40.68259321,3.051209495,0.362238656,5.75,7.75,af/Qi,6
15,91.34444745,42.1763515,2.928205377,0.450346459,7.75,9.75,af/Qi,6
15,106.1785715,41.03260179,2.957217396,0.537897975,9.75,11.75,af/Qi,6
15,190.3186975,97.28421459,2.812403331,0.644856435,11.75,13.75,af/Qi,6
15,210.2502293,288.6581474,2.338580873,0.80969969,13.75,15.75,af/Qi,6
15,190.7832286,139.9686668,2.782713991,0.967407961,15.75,17.75,af/Qi,6
15,200.3417999,132.7073344,2.708392407,1.138278458,17.75,19.75,af/Qi,6
15,194.6453005,96.94468491,2.831311102,1.298533226,19.75,21.75,af/Qi,6
15,253.4948322,106.9342224,2.747829733,1.419877441,21.75,22.95,af/Qi,6
16,165.0768336,331.4323194,2.598807917,0.515322532,1.75,3.75,af/Qi,6
16,138.7383459,51.85949931,3.081378828,0.699572109,3.75,5.75,af/Qi,6
16,151.5569909,85.34640459,2.426786693,0.82471372,5.75,7.75,af/Qi,6
16,146.7835787,39.33057666,3.112578738,0.925845671,7.75,9.75,af/Qi,6
16,107.9680519,32.69518444,3.272118141,1.04206869,9.75,11.75,af/Qi,6
16,266.7191826,46.2678905,3.132046767,1.18105425,11.75,13.75,af/Qi,6
16,239.8544955,101.6264585,2.861992555,1.316814355,13.75,15.75,af/Qi,6
16,222.298244,182.960905,2.332374851,1.487348843,15.75,17.75,af/Qi,6
16,265.1671615,135.1560818,2.723613195,1.660326667,17.75,19.75,af/Qi,6
16,194.8778713,255.6618479,2.288184462,1.79478164,19.75,20.8,af/Qi,6
17,105.4600882,92.57143117,2.624177462,0.163551217,1.75,3.75,af/Qi,6
17,111.8685173,173.8256529,2.551043716,0.269345746,3.75,5.75,af/Qi,6
17,103.5654833,69.28341944,2.768432345,0.378423603,5.75,7.75,af/Qi,6
17,132.8104406,90.24911173,2.756606286,0.487011845,7.75,9.75,af/Qi,6
17,127.594045,114.6514855,2.474517888,0.613110032,9.75,11.75,af/Qi,6
17,162.1126301,115.7039556,2.569241638,0.743675073,11.75,13.75,af/Qi,6
17,148.7552329,122.910354,2.47588023,0.876573805,13.75,15.75,af/Qi,6
17,253.4111578,242.8232631,2.377871766,1.02193225,15.75,17.75,af/Qi,6
17,301.9795051,213.466914,2.444587821,1.205516474,17.75,19.75,af/Qi,6
17,283.5031943,134.3084354,2.583038892,1.375831247,19.75,21.75,af/Qi,6
17,289.4615064,232.7586393,2.533371876,1.553658788,21.75,23.75,af/Qi,6
17,235.5592379,112.3005529,2.712373206,1.73658775,23.75,25.85,af/Qi,6
